"Name","Count"
"MARY","8,585,507"
"PATRICIA","3,504,089"
"LINDA","3,379,992"
"BARBARA","3,200,379"
"ELIZABETH","3,059,954"
"JENNIFER","3,043,626"
"MARIA","2,703,994"
"SUSAN","2,592,960"
"MARGARET","2,508,052"
"DOROTHY","2,374,159"
"LISA","2,299,048"
"NANCY","2,184,749"
"KAREN","2,178,217"
"BETTY","2,174,952"
"HELEN","2,165,155"
"SANDRA","2,054,121"
"DONNA","1,903,899"
"CAROL","1,845,117"
"RUTH","1,835,320"
"SHARON","1,704,692"
"MICHELLE","1,694,895"
"LAURA","1,665,503"
"SARAH","1,658,972"
"KIMBERLY","1,645,909"
"DEBORAH","1,613,252"
"JESSICA","1,600,190"
"SHIRLEY","1,574,064"
"CYNTHIA","1,531,610"
"ANGELA","1,528,344"
"MELISSA","1,508,750"
"BRENDA","1,485,890"
"AMY","1,472,828"
"ANNA","1,436,905"
"REBECCA","1,404,248"
"VIRGINIA","1,404,248"
"KATHLEEN","1,384,654"
"PAMELA","1,358,528"
"MARTHA","1,345,466"
"DEBRA","1,332,403"
"AMANDA","1,319,340"
"STEPHANIE","1,306,277"
"CAROLYN","1,257,292"
"CHRISTINE","1,247,495"
"MARIE","1,237,698"
"JANET","1,237,698"
"CATHERINE","1,218,104"
"FRANCES","1,208,306"
"ANN","1,188,712"
"JOYCE","1,188,712"
"DIANE","1,172,384"
"ALICE","1,165,852"
"JULIE","1,136,461"
"HEATHER","1,100,539"
"TERESA","1,097,273"
"DORIS","1,094,007"
"GLORIA","1,094,007"
"EVELYN","1,051,553"
"JEAN","1,028,693"
"CHERYL","1,028,693"
"MILDRED","1,022,162"
"KATHERINE","1,022,162"
"JOAN","999,302"
"ASHLEY","989,505"
"JUDITH","969,911"
"ROSE","966,645"
"JANICE","930,723"
"KELLY","924,191"
"NICOLE","917,660"
"JUDY","901,331"
"CHRISTINA","898,066"
"KATHY","888,269"
"THERESA","885,003"
"BEVERLY","871,940"
"DENISE","862,143"
"TAMMY","845,815"
"IRENE","822,955"
"JANE","816,423"
"LORI","809,892"
"RACHEL","790,298"
"MARILYN","787,032"
"ANDREA","770,704"
"KATHRYN","764,172"
"LOUISE","747,844"
"SARA","747,844"
"ANNE","744,578"
"JACQUELINE","744,578"
"WANDA","738,047"
"BONNIE","728,250"
"JULIA","728,250"
"RUBY","721,718"
"LOIS","718,452"
"TINA","718,452"
"PHYLLIS","715,187"
"NORMA","711,921"
"PAULA","708,655"
"DIANA","705,390"
"ANNIE","705,390"
"LILLIAN","689,061"
"EMILY","679,264"
"ROBIN","679,264"
"PEGGY","679,264"
"CRYSTAL","675,998"
"GLADYS","669,467"
"RITA","666,201"
"DAWN","659,670"
"CONNIE","653,139"
"FLORENCE","653,139"
"TRACY","643,342"
"EDNA","643,342"
"TIFFANY","636,810"
"CARMEN","636,810"
"ROSA","633,544"
"CINDY","627,013"
"GRACE","617,216"
"WENDY","604,153"
"VICTORIA","587,825"
"EDITH","584,559"
"KIM","581,293"
"SHERRY","581,293"
"SYLVIA","578,028"
"JOSEPHINE","578,028"
"THELMA","571,496"
"SHANNON","571,496"
"SHEILA","571,496"
"ETHEL","568,231"
"ELLEN","564,965"
"ELAINE","564,965"
"MARJORIE","564,965"
"CARRIE","558,434"
"CHARLOTTE","551,902"
"MONICA","542,105"
"ESTHER","542,105"
"PAULINE","538,839"
"EMMA","538,839"
"JUANITA","535,574"
"ANITA","529,042"
"RHONDA","529,042"
"HAZEL","525,777"
"AMBER","522,511"
"EVA","519,245"
"DEBBIE","512,714"
"APRIL","502,917"
"LESLIE","502,917"
"CLARA","499,651"
"LUCILLE","499,651"
"JAMIE","499,651"
"JOANNE","489,854"
"ELEANOR","489,854"
"VALERIE","486,588"
"DANIELLE","486,588"
"MEGAN","480,057"
"ALICIA","476,791"
"SUZANNE","473,525"
"MICHELE","473,525"
"GAIL","473,525"
"BERTHA","466,994"
"DARLENE","463,728"
"VERONICA","463,728"
"JILL","463,728"
"ERIN","460,463"
"GERALDINE","460,463"
"LAUREN","447,400"
"CATHY","447,400"
"JOANN","444,134"
"LORRAINE","440,869"
"LYNN","440,869"
"SALLY","440,869"
"REGINA","434,337"
"ERICA","424,540"
"BEATRICE","424,540"
"DOLORES","421,274"
"BERNICE","418,009"
"AUDREY","414,743"
"YVONNE","411,477"
"ANNETTE","408,212"
"JUNE","408,212"
"SAMANTHA","404,946"
"MARION","398,415"
"DANA","398,415"
"STACY","395,149"
"ANA","391,883"
"RENEE","391,883"
"IDA","385,352"
"VIVIAN","385,352"
"ROBERTA","382,086"
"HOLLY","382,086"
"BRITTANY","382,086"
"MELANIE","378,820"
"LORETTA","375,555"
"YOLANDA","375,555"
"JEANETTE","375,555"
"LAURIE","372,289"
"KATIE","369,023"
"KRISTEN","362,492"
"VANESSA","362,492"
"ALMA","362,492"
"SUE","362,492"
"ELSIE","359,226"
"BETH","359,226"
"JEANNE","355,961"
"VICKI","355,961"
"CARLA","349,429"
"TARA","349,429"
"ROSEMARY","349,429"
"EILEEN","342,898"
"TERRI","342,898"
"GERTRUDE","336,366"
"LUCY","336,366"
"TONYA","333,101"
"ELLA","329,835"
"STACEY","329,835"
"WILMA","323,304"
"GINA","323,304"
"KRISTIN","323,304"
"JESSIE","320,038"
"NATALIE","320,038"
"AGNES","320,038"
"VERA","320,038"
"WILLIE","316,772"
"CHARLENE","316,772"
"BESSIE","313,507"
"DELORES","310,241"
"MELINDA","306,975"
"PEARL","306,975"
"ARLENE","306,975"
"MAUREEN","300,444"
"COLLEEN","300,444"
"ALLISON","300,444"
"TAMARA","300,444"
"JOY","297,178"
"GEORGIA","297,178"
"CONSTANCE","297,178"
"LILLIE","293,912"
"CLAUDIA","293,912"
"JACKIE","293,912"
"MARCIA","293,912"
"TANYA","290,647"
"NELLIE","290,647"
"MINNIE","290,647"
"MARLENE","287,381"
"HEIDI","287,381"
"GLENDA","287,381"
"LYDIA","280,850"
"VIOLA","280,850"
"COURTNEY","280,850"
"MARIAN","280,850"
"STELLA","277,584"
"CAROLINE","277,584"
"DORA","274,318"
"JO","271,053"
"VICKIE","267,787"
"MATTIE","264,521"
"TERRY","261,255"
"MAXINE","257,990"
"IRMA","257,990"
"MABEL","254,724"
"MARSHA","254,724"
"MYRTLE","254,724"
"LENA","251,458"
"CHRISTY","251,458"
"DEANNA","248,193"
"PATSY","248,193"
"HILDA","244,927"
"GWENDOLYN","241,661"
"JENNIE","238,396"
"NORA","238,396"
"MARGIE","235,130"
"NINA","235,130"
"CASSANDRA","235,130"
"LEAH","235,130"
"PENNY","231,864"
"KAY","231,864"
"PRISCILLA","231,864"
"NAOMI","231,864"
"CAROLE","231,864"
"BRANDY","228,599"
"OLGA","228,599"
"BILLIE","225,333"
"DIANNE","225,333"
"TRACEY","225,333"
"LEONA","225,333"
"JENNY","222,067"
"FELICIA","222,067"
"SONIA","222,067"
"MIRIAM","215,536"
"VELMA","215,536"
"BECKY","215,536"
"BOBBIE","212,270"
"VIOLET","212,270"
"KRISTINA","212,270"
"TONI","209,004"
"MISTY","205,739"
"MAE","205,739"
"SHELLY","202,473"
"DAISY","202,473"
"RAMONA","202,473"
"SHERRI","202,473"
"ERIKA","199,207"
"KATRINA","199,207"
"CLAIRE","199,207"
"LINDSEY","195,942"
"LINDSAY","195,942"
"GENEVA","192,676"
"GUADALUPE","192,676"
"BELINDA","192,676"
"MARGARITA","192,676"
"SHERYL","192,676"
"CORA","189,410"
"FAYE","189,410"
"ADA","186,145"
"NATASHA","186,145"
"SABRINA","186,145"
"ISABEL","186,145"
"MARGUERITE","182,879"
"HATTIE","182,879"
"HARRIET","182,879"
"MOLLY","179,613"
"CECILIA","179,613"
"KRISTI","179,613"
"BRANDI","179,613"
"BLANCHE","179,613"
"SANDY","179,613"
"ROSIE","179,613"
